centil,renta
45,16001.7667021313
46,16413.201858129032
47,16997.677756580822
48,17000.66723519156
49,17041.809989730355
50,17996.669452879847
51,17999.740328673055
52,18002.845923729965
53,18787.06107258279
54,18999.388457195688
55,19002.83596918385
56,19876.02747410637
57,20000.006676314504
58,20123.17228827515
59,20997.505285392363
60,21001.47995973564
61,21617.815010305985
62,21999.57852771992
63,22160.04132410548
64,22997.84481037604
65,23002.28833058059
66,23887.499199129536
67,24001.449943438973
68,24740.288254054813
69,25001.303606643854
70,25779.220576895183
71,26002.100743310264
72,26970.881050196644
73,27305.3555547178
74,28000.26861396487
75,28794.857977955657
76,29371.76630383508
77,30004.51629238397
78,30999.00023070341
79,31746.79029021111
80,32660.397470750384
81,33605.66913091731
82,34602.65759656336
83,35671.34944831648
84,36777.94268667955
85,38053.42687473014
86,39353.20911644258
87,40164.9360910667
88,42121.71265336946
89,44513.72958035857
90,45341.77098057199
91,47891.59747331597
92,50308.03770292247
93,53546.72887482799
94,58197.79210161181
95,59999.78269317272
96,61898.41603621427
97,69864.91410528269
98,79347.37583119769
99,93303.4667458824
100,182237.11259563483
1,764.9292500008798
2,2712.673714198425
3,3973.640319257546
4,4824.415949783074
5,5430.5214225877035
6,6000.0455056387855
7,6580.623455986675
8,6999.649927368064
9,7255.093855944376
10,7997.506600400324
11,8000.8349498471935
12,8233.198576391718
13,8996.837446866228
14,8999.401847286023
15,9001.951424543715
16,9291.785990317943
17,9996.694413139192
18,9998.892737428849
19,10001.0115285846
20,10003.084580593932
21,10597.266738781182
22,10997.18266213946
23,10999.163165318469
24,11001.139437688924
25,11003.06624340367
26,11511.966776492212
27,11996.997830992468
28,11998.986411086173
29,12000.97101415332
30,12002.998073918016
31,12541.246254066758
32,12997.3657035285
33,12999.598849258771
34,13001.826939303022
35,13119.695181505596
36,13996.508516847516
37,13998.98636554083
38,14001.400141047705
39,14028.502207465892
40,14996.407539474603
41,14999.09302280237
42,15001.803575674148
43,15316.22818961335
44,15997.372866530684
45,16000.341315911945
46,16003.341047916354
47,16929.07394633609
48,16999.424219972316
49,17002.41417010344
50,17623.424161687715
51,17998.48578579168
52,18001.522138901186
53,18418.32095929627
