centil,renta
42,14999.158725619614
43,15001.948700741415
44,15407.00444044669
45,15997.67731523221
46,16000.624356262735
47,16003.496594830907
48,16981.135450606376
49,16999.069374965267
50,17001.899262517036
51,17395.28961056308
52,17997.649862795795
53,18000.502450910968
54,18003.346199056065
55,18908.58609442628
56,18999.600896869222
57,19002.90041737234
58,19831.301472765605
59,19999.83510348602
60,20048.353019971848
61,20997.03748804796
62,21000.87581427468
63,21456.63169882836
64,21999.309208216036
65,22209.74769732124
66,22998.41631042194
67,23156.906369651948
68,23998.115210166263
69,24126.369723322827
70,24998.43937689614
71,25322.784158295177
72,25999.51207534044
73,26558.36725655404
74,27001.07484591813
75,27800.21239515963
76,28067.20440432389
77,28998.4293009186
78,29382.66127099907
79,30000.14097585759
80,30696.367030006877
81,31169.6462322678
82,31999.89820235218
83,32792.77277621265
84,33626.397297833784
85,34540.217057179536
86,35531.21605525463
87,36610.4427583452
88,37768.82565187147
89,39234.311707921945
90,40000.75592697677
91,42032.08576411975
92,44809.301288979565
93,45615.77263347196
94,49188.09174803309
95,52941.4938768547
96,58694.11375319231
97,60001.24095010166
98,64730.415386239256
99,78144.81668432332
100,136168.913105246
1,0.8849891811631443
2,2.643873465023376
3,150.78294565435544
4,997.5252946919716
5,1001.5200650910768
6,1607.3384991216549
7,1999.808970342658
8,2313.615530492792
9,2998.512117082953
10,3002.807658062931
11,3989.507863307116
12,4001.169460434272
13,4605.4030899922645
14,4998.988403664066
15,5002.6121133886445
16,5826.8535292539145
17,6000.08778754089
18,6161.794145398003
19,6997.341614087109
20,7000.893495797212
21,7351.111668231614
22,7997.8344852193395
23,8001.182308550425
24,8319.10678151915
25,8997.647705576153
26,9000.911397561516
27,9207.275539993076
28,9997.14560801322
29,10000.229540483646
30,10003.346812752608
31,10980.639963991644
32,10999.309015168774
33,11002.26982858003
34,11571.324318204574
35,11997.922432852369
36,12000.5646328554
37,12003.245464170985
38,12845.118380841508
39,12998.648199255826
40,13001.376726242528
41,13159.279206229548
42,13996.76927610679
43,13999.371103064756
44,14001.950953810025
45,14366.209964576348
46,14997.294277561925
47,14999.950051267931
48,15002.558607369025
49,15552.647464149848
50,15997.77376070955
51,16000.406074491542
52,16003.07374744347
53,16743.305570751563
54,16998.209558041784
55,17000.75670058746
56,17003.232802963485
57,17807.472048875014
58,17998.629553586678
59,18001.394303895137
60,18193.35282463597
61,18997.19649019103
62,19000.337909187623
63,19028.333196336785
64,19996.77145524598
65,20000.24167334565
66,20127.6018316146
67,20997.449181932207
68,21001.33643809393
69,21575.701869591725
70,21999.941460850296
71,22371.300800670782
72,22999.218377406363
73,23349.117313916675
74,23999.333805666967
75,24394.2633302814
76,24999.91206225833
77,25591.62996669731
78,26001.59790193284
79,26935.56231631526
